# BUSCO version is: 5.7.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
402899at2	Complete	NODE_1_length_414005_cov	348255	349529	+	340.7	282	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_10_length_175988_cov	24364	25746	+	578.6	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_12_length_133233_cov	57601	58764	+	178.5	217	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_1_length_414005_cov	266535	267518	+	434.8	293	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Complete	NODE_7_length_205025_cov	93934	95511	+	308.9	232	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_11_length_148513_cov	31204	29822	-	211.5	231	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_5_length_264628_cov	176132	174834	-	366.7	284	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_29_length_41409_cov	12198	11209	-	263.4	225	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_8_length_203054_cov	198288	196570	-	820.9	532	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_15_length_117642_cov	22947	24980	+	197.2	300	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_4_length_268404_cov	179624	180307	+	287.4	205	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_10_length_175988_cov	21882	23423	+	642.1	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_49_length_4267_cov	169	1197	+	139.6	163	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_1_length_414005_cov	120121	121131	+	429.0	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_7_length_205025_cov	105272	104235	-	464.4	314	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_38_length_31036_cov	28899	27610	-	692.2	417	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_13_length_133063_cov	70817	69519	-	97.2	231	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_29_length_41409_cov	22533	21712	-	235.4	172	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_6_length_224367_cov	157491	156406	-	330.4	266	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_7_length_205025_cov	23083	23988	+	229.6	220	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_8_length_203054_cov	84818	85969	+	260.0	218	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_12_length_133233_cov	43517	42363	-	460.5	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_1_length_414005_cov	71547	73379	+	288.9	313	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_8_length_203054_cov	171368	172093	+	142.5	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_38_length_31036_cov	30500	28911	-	611.6	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_2_length_297149_cov	200959	202065	+	459.6	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_3_length_284896_cov	185891	186841	+	162.1	178	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_5_length_264628_cov	20500	22161	+	306.8	385	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_5_length_264628_cov	91960	90899	-	393.4	261	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_8_length_203054_cov	76600	77916	+	328.6	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_29_length_41409_cov	21052	20351	-	213.6	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_8_length_203054_cov	75515	76597	+	282.3	249	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_9_length_178300_cov	52873	53817	+	132.5	119	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NODE_29_length_41409_cov	12844	12224	-	216.4	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NODE_9_length_178300_cov	155107	156120	+	251.0	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_14_length_125752_cov	70784	70017	-	315.2	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_29_length_41409_cov	24095	23466	-	178.3	160	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_8_length_203054_cov	69607	70548	+	146.9	155	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NODE_10_length_175988_cov	129008	127788	-	335.0	295	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NODE_8_length_203054_cov	176059	177411	+	135.3	155	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_29_length_41409_cov	17309	16776	-	143.3	129	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NODE_10_length_175988_cov	158078	159097	+	269.6	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_29_length_41409_cov	18607	18068	-	228.7	140	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_38_length_31036_cov	2964	3461	+	87.1	114	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_12_length_133233_cov	39089	38358	-	49.9	84	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_13_length_133063_cov	28775	28131	-	141.6	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_5_length_264628_cov	14623	14075	-	35.1	50	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_10_length_175988_cov	120311	119688	-	281.2	186	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_8_length_203054_cov	920	1861	+	202.5	222	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_29_length_41409_cov	16398	15895	-	228.8	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_16_length_112849_cov	3426	2887	-	197.7	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_29_length_41409_cov	15266	13935	-	360.2	297	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_29_length_41409_cov	23455	22850	-	122.4	99	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_13_length_133063_cov	90813	90394	-	137.7	143	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_10_length_175988_cov	18059	18682	+	68.8	85	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NODE_3_length_284896_cov	187311	188591	+	503.6	372	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_9_length_178300_cov	47644	48096	+	53.3	45	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NODE_8_length_203054_cov	169387	170112	+	272.1	186	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NODE_13_length_133063_cov	31545	30940	-	161.7	149	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_29_length_41409_cov	21402	21070	-	117.9	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_38_length_31036_cov	1847	2551	+	213.6	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_8_length_203054_cov	172385	172942	+	162.0	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NODE_2_length_297149_cov	136219	136803	+	125.1	103	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NODE_29_length_41409_cov	17714	17322	-	233.6	130	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_5_length_264628_cov	13235	12888	-	121.5	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_10_length_175988_cov	23474	24337	+	171.7	143	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_38_length_31036_cov	1415	1843	+	128.8	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NODE_16_length_112849_cov	3897	3523	-	174.5	100	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_29_length_41409_cov	13267	12878	-	155.4	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NODE_5_length_264628_cov	23601	24083	+	200.3	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NODE_7_length_205025_cov	24000	24728	+	74.6	103	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_1_length_414005_cov	264947	265381	+	101.8	94	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NODE_24_length_56917_cov	45388	45780	+	114.8	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_29_length_41409_cov	13640	13284	-	145.6	95	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_3_length_284896_cov	211757	212152	+	65.6	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_29_length_41409_cov	20338	19928	-	156.8	101	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_29_length_41409_cov	19318	18947	-	138.1	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NODE_24_length_56917_cov	44944	45372	+	163.5	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_38_length_31036_cov	3528	3893	+	92.9	87	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_3_length_284896_cov	182224	182685	+	83.8	66	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_34_length_35227_cov	14957	14361	-	98.9	90	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_30_length_40969_cov	37603	38070	+	77.2	75	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_29_length_41409_cov	11168	10785	-	106.4	82	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_49_length_4267_cov	1194	2159	+	46.7	82	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_3_length_284896_cov	259034	258099	-	153.2	178	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_10_length_175988_cov	131914	131435	-	128.2	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_29_length_41409_cov	15708	15274	-	78.6	71	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_7_length_205025_cov	22406	23086	+	79.7	103	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_29_length_41409_cov	21695	21417	-	135.0	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_9_length_178300_cov	32531	32788	+	125.2	68	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_5_length_264628_cov	19413	18820	-	50.4	71	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_1_length_414005_cov	265728	266084	+	125.6	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_5_length_264628_cov	14890	14642	-	105.1	68	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_10_length_175988_cov	21336	21869	+	136.5	157	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	NODE_3_length_284896_cov	212478	212705	+	87.5	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_9_length_178300_cov	32199	32510	+	129.0	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_3_length_284896_cov	212747	213196	+	85.5	81	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_29_length_41409_cov	16766	16413	-	134.6	102	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NODE_9_length_178300_cov	52472	52873	+	137.3	123	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_29_length_41409_cov	22853	22551	-	113.4	92	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_9_length_178300_cov	53966	54235	+	109.2	65	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_19_length_78649_cov	59762	59445	-	90.6	79	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_8_length_203054_cov	591	328	-	77.1	63	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_29_length_41409_cov	24439	24128	-	137.4	86	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_29_length_41409_cov	19737	19483	-	93.0	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_29_length_41409_cov	18936	18622	-	61.3	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_1_length_414005_cov	265478	265675	+	34.3	33	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_29_length_41409_cov	19928	19737	-	51.3	38	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_4_length_268404_cov	144866	144648	-	93.6	56	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_12_length_133233_cov	36723	36307	-	44.5	67	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
