# BUSCO version is: 5.7.1 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
932854at2	Complete	NODE_39_length_30887_cov	1989	3278	+	692.2	417	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_12_length_133063_cov	62247	63545	+	97.2	231	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_29_length_41323_cov	22447	21626	-	235.4	172	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_6_length_224413_cov	157537	156452	-	330.4	266	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_7_length_210698_cov	187946	187041	-	229.6	220	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_8_length_203214_cov	84818	85969	+	260.0	218	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_13_length_132605_cov	89092	90246	+	460.5	306	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_1_length_433760_cov	74399	76231	+	288.9	313	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_8_length_203214_cov	171368	172093	+	142.5	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_39_length_30887_cov	388	1977	+	611.6	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_3_length_297513_cov	201323	202429	+	459.6	328	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_4_length_294422_cov	108371	107421	-	162.1	178	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_5_length_264618_cov	244119	242458	-	306.8	385	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_5_length_264618_cov	172659	173720	+	393.4	261	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_8_length_203214_cov	76600	77916	+	328.6	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_29_length_41323_cov	20966	20265	-	213.6	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_8_length_203214_cov	75515	76597	+	282.3	249	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_9_length_178278_cov	125427	124483	-	132.5	119	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NODE_29_length_41323_cov	12758	12138	-	216.4	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NODE_9_length_178278_cov	23193	22180	-	251.0	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_14_length_125752_cov	54969	55736	+	315.2	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_29_length_41323_cov	24009	23380	-	178.3	160	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_8_length_203214_cov	69607	70548	+	146.9	155	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NODE_10_length_175988_cov	46981	48201	+	335.0	295	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NODE_8_length_203214_cov	176059	177411	+	135.3	155	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_29_length_41323_cov	17223	16690	-	143.3	129	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NODE_10_length_175988_cov	17911	16892	-	269.6	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_29_length_41323_cov	18521	17982	-	228.7	140	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_39_length_30887_cov	27924	27427	-	87.1	114	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_13_length_132605_cov	93520	94251	+	49.9	84	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_12_length_133063_cov	104289	104933	+	141.6	129	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_5_length_264618_cov	249996	250544	+	35.1	50	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_10_length_175988_cov	55678	56301	+	281.2	186	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_8_length_203214_cov	920	1861	+	202.5	222	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_29_length_41323_cov	16312	15809	-	228.8	148	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_16_length_112849_cov	3426	2887	-	197.7	133	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_29_length_41323_cov	15180	13849	-	360.2	297	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_29_length_41323_cov	23369	22764	-	122.4	99	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_12_length_133063_cov	42251	42670	+	137.7	143	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_10_length_175988_cov	157930	157307	-	68.8	85	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NODE_4_length_294422_cov	106951	105671	-	503.6	372	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_9_length_178278_cov	130656	130204	-	53.3	45	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NODE_8_length_203214_cov	169387	170112	+	272.1	186	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NODE_12_length_133063_cov	101519	102124	+	161.7	149	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_29_length_41323_cov	21316	20984	-	117.9	85	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_39_length_30887_cov	29041	28337	-	213.6	165	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_8_length_203214_cov	172385	172942	+	162.0	135	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NODE_3_length_297513_cov	136583	137167	+	125.1	103	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NODE_29_length_41323_cov	17628	17236	-	233.6	130	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_5_length_264618_cov	251384	251731	+	121.5	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_10_length_175988_cov	152515	151652	-	171.7	143	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_39_length_30887_cov	29473	29045	-	128.8	104	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NODE_16_length_112849_cov	3897	3523	-	174.5	100	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_29_length_41323_cov	13181	12792	-	155.4	96	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NODE_5_length_264618_cov	241018	240536	-	200.3	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NODE_7_length_210698_cov	187029	186301	-	74.6	103	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_1_length_433760_cov	267799	268233	+	101.8	94	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NODE_24_length_56917_cov	45388	45780	+	114.8	98	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_29_length_41323_cov	13554	13198	-	145.6	95	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_4_length_294422_cov	82505	82110	-	65.6	69	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_29_length_41323_cov	20252	19842	-	156.8	101	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_29_length_41323_cov	19232	18861	-	138.1	103	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NODE_24_length_56917_cov	44944	45372	+	163.5	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_39_length_30887_cov	27360	26995	-	92.9	87	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_4_length_294422_cov	112038	111577	-	83.8	66	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_34_length_35227_cov	14957	14361	-	98.9	90	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_31_length_40757_cov	37391	37858	+	77.2	75	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_29_length_41323_cov	11082	10699	-	106.4	82	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_43_length_4267_cov	1194	2159	+	46.7	82	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_4_length_294422_cov	35228	36163	+	153.2	178	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_10_length_175988_cov	44075	44554	+	128.2	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_29_length_41323_cov	15622	15188	-	78.6	71	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_7_length_210698_cov	188623	187943	-	79.7	103	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_29_length_41323_cov	21609	21331	-	135.0	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_9_length_178278_cov	145769	145512	-	125.2	68	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_5_length_264618_cov	245206	245799	+	50.4	71	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_1_length_433760_cov	268580	268936	+	125.6	92	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_5_length_264618_cov	249729	249977	+	105.1	68	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_10_length_175988_cov	154653	154120	-	136.5	157	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	NODE_4_length_294422_cov	81784	81557	-	87.5	47	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_9_length_178278_cov	146101	145790	-	129.0	99	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_4_length_294422_cov	81515	81066	-	85.5	81	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_29_length_41323_cov	16680	16327	-	134.6	102	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NODE_9_length_178278_cov	125828	125427	-	137.3	123	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_29_length_41323_cov	22767	22465	-	113.4	92	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_9_length_178278_cov	124334	124065	-	109.2	65	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_19_length_78649_cov	59762	59445	-	90.6	79	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_8_length_203214_cov	591	328	-	77.1	63	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_29_length_41323_cov	24353	24042	-	137.4	86	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_29_length_41323_cov	19651	19397	-	93.0	56	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_29_length_41323_cov	18850	18536	-	61.3	52	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_1_length_433760_cov	268330	268527	+	34.3	33	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_29_length_41323_cov	19842	19651	-	51.3	38	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_2_length_312554_cov	167879	168097	+	93.6	56	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_13_length_132605_cov	95886	96302	+	44.5	67	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
