ID or #		Start	End	Type	Contig
gene-b0047		47769	49631	complete	3393:175696-173834
cds-NP_414589.1		47769	49631	complete	3393:175696-173834
gene-b0048		49823	50302	complete	3393:173642-173163
cds-NP_414590.1		49823	50302	complete	3393:173642-173163
gene-b0049		50380	51222	complete	3393:173085-172243
cds-NP_414591.1		50380	51222	complete	3393:173085-172243
gene-b0050		51229	51606	complete	3393:172236-171859
cds-NP_414592.1		51229	51606	complete	3393:172236-171859
gene-b0051		51609	52430	complete	3393:171856-171035
cds-NP_414593.1		51609	52430	complete	3393:171856-171035
gene-b0052		52427	53416	complete	3393:171038-170049
cds-NP_414594.1		52427	53416	complete	3393:171038-170049
gene-b0053		53416	54702	complete	3393:170049-168763
cds-NP_414595.1		53416	54702	complete	3393:170049-168763
gene-b0054		54755	57109	complete	3393:168710-166356
cds-NP_414596.1		54755	57109	complete	3393:168710-166356
gene-b0055		57364	58179	complete	3393:166101-165286
cds-NP_414597.1		57364	58179	complete	3393:166101-165286
gene-b0056		58474	59124	complete	3393:164991-164341
cds-YP_009518734.1		58474	59124	complete	3393:164991-164341
gene-b0057		59121	59279	complete	3393:164344-164186
cds-YP_009518735.1		59121	59279	complete	3393:164344-164186
gene-b0058		59687	60346	complete	3393:163778-163119
cds-NP_414600.1		59687	60346	complete	3393:163778-163119
gene-b0059		60358	63264	complete	3393:163107-160201
cds-NP_414601.1		60358	63264	complete	3393:163107-160201
gene-b0060		63429	65780	complete	3393:160036-157685
cds-NP_414602.1		63429	65780	complete	3393:160036-157685
gene-b0061		65855	66550	complete	3393:157610-156915
cds-NP_414603.1		65855	66550	complete	3393:157610-156915
gene-b0062		66835	68337	complete	3393:156630-155128
cds-NP_414604.1		66835	68337	complete	3393:156630-155128
gene-b0063		68348	70048	complete	3393:155117-153417
cds-NP_414605.1		68348	70048	complete	3393:155117-153417
gene-b0064		70387	71265	complete	3393:153078-152200
cds-NP_414606.1		70387	71265	complete	3393:153078-152200
gene-b0065		71351	72115	complete	3393:152114-151350
cds-NP_414607.1		71351	72115	complete	3393:152114-151350
gene-b0066		72229	72927	complete	3393:151236-150538
cds-NP_414608.1		72229	72927	complete	3393:151236-150538
gene-b0067		72911	74521	complete	3393:150554-148944
cds-NP_414609.1		72911	74521	complete	3393:150554-148944
gene-b0068		74497	75480	complete	3393:148968-147985
cds-NP_414610.1		74497	75480	complete	3393:148968-147985
gene-b4762		75516	75608	complete	3393:147949-147857
rna-b4762		75516	75608	complete	3393:147949-147857
exon-b4762-1		75516	75608	complete	3393:147949-147857
gene-b0069		75644	77299	complete	3393:147821-146166
cds-NP_414611.1		75644	77299	complete	3393:147821-146166
gene-b4577		77367	77593	complete	3393:146098-145872
rna-b4577		77367	77593	complete	3393:146098-145872
exon-b4577-1		77367	77593	complete	3393:146098-145872
gene-b4662		77388	77519	complete	3393:146077-145946
cds-YP_002791237.1		77388	77519	complete	3393:146077-145946
gene-b0070		77621	78799	complete	3393:145844-144666
cds-YP_025293.1		77621	78799	complete	3393:145844-144666
gene-b0071		78848	79453	complete	3393:144617-144012
cds-NP_414613.1		78848	79453	complete	3393:144617-144012
gene-b0072		79464	80864	complete	3393:144001-142601
cds-NP_414614.1		79464	80864	complete	3393:144001-142601
gene-b0073		80867	81958	complete	3393:142598-141507
cds-NP_414615.4		80867	81958	complete	3393:142598-141507
gene-b0074		81958	83529	complete	3393:141507-139936
cds-NP_414616.1		81958	83529	complete	3393:141507-139936
gene-b0075		83622	83708	complete	3393:139843-139757
cds-NP_414617.1		83622	83708	complete	3393:139843-139757
gene-b0076		84368	85312	complete	3393:139097-138153
cds-NP_414618.4		84368	85312	complete	3393:139097-138153
gene-b4726		85467	85511	complete	3393:137998-137954
cds-YP_009518736.1		85467	85511	complete	3393:137998-137954
gene-b0077		85630	87354	complete	3393:137835-136111
cds-YP_025294.2		85630	87354	complete	3393:137835-136111
gene-b0078		87357	87848	complete	3393:136108-135617
cds-NP_414620.1		87357	87848	complete	3393:136108-135617
gene-b0080		88028	89032	complete	3393:135437-134433
cds-NP_414622.1		88028	89032	complete	3393:135437-134433
gene-b0081		89634	90092	complete	3393:133831-133373
cds-NP_414623.1		89634	90092	complete	3393:133831-133373
gene-b0082		90094	91035	complete	3393:133371-132430
cds-NP_414624.1		90094	91035	complete	3393:133371-132430
gene-b0083		91032	91397	complete	3393:132433-132068
cds-NP_414625.1		91032	91397	complete	3393:132433-132068
gene-b0084		91413	93179	complete	3393:132052-130286
cds-NP_414626.1		91413	93179	complete	3393:132052-130286
gene-b4810		92485	92658	complete	3393:130980-130807
rna-b4810		92485	92658	complete	3393:130980-130807
exon-b4810-1		92485	92658	complete	3393:130980-130807
gene-b0085		93166	94653	complete	3393:130299-128812
cds-NP_414627.1		93166	94653	complete	3393:130299-128812
gene-b0086		94650	96008	complete	3393:128815-127457
cds-NP_414628.1		94650	96008	complete	3393:128815-127457
gene-b0087		96002	97084	complete	3393:127463-126381
cds-NP_414629.1		96002	97084	complete	3393:127463-126381
gene-b0088		97087	98403	complete	3393:126378-125062
cds-NP_414630.1		97087	98403	complete	3393:126378-125062
gene-b0089		98403	99647	complete	3393:125062-123818
cds-NP_414631.1		98403	99647	complete	3393:125062-123818
gene-b0090		99644	100711	complete	3393:123821-122754
cds-NP_414632.1		99644	100711	complete	3393:123821-122754
gene-b0091		100765	102240	complete	3393:122700-121225
cds-NP_414633.1		100765	102240	complete	3393:122700-121225
gene-b0092		102233	103153	complete	3393:121232-120312
cds-NP_414634.1		102233	103153	complete	3393:121232-120312
gene-b0093		103155	103985	complete	3393:120310-119480
cds-NP_414635.1		103155	103985	complete	3393:120310-119480
gene-b0094		103982	105244	complete	3393:119483-118221
cds-NP_414636.1		103982	105244	complete	3393:119483-118221
gene-b0095		105305	106456	complete	3393:118160-117009
cds-NP_414637.1		105305	106456	complete	3393:118160-117009
gene-b0096		106557	107474	complete	3393:116908-115991
cds-NP_414638.1		106557	107474	complete	3393:116908-115991
gene-b0097		107705	108217	complete	3393:115760-115248
cds-NP_414639.2		107705	108217	complete	3393:115760-115248
gene-b0098		108279	110984	complete	3393:115186-112481
cds-NP_414640.1		108279	110984	complete	3393:115186-112481
gene-b0099		111044	111433	complete	3393:112421-112032
cds-NP_414641.1		111044	111433	complete	3393:112421-112032
gene-b0101		111649	111846	complete	3393:111816-111619
cds-NP_414643.1		111649	111846	complete	3393:111816-111619
gene-b0102		111856	112599	complete	3393:111609-110866
cds-NP_414644.1		111856	112599	complete	3393:111609-110866
gene-b0103		112599	113219	complete	3393:110866-110246
cds-NP_414645.1		112599	113219	complete	3393:110866-110246
gene-b4727		113244	113288	complete	3393:110221-110177
cds-YP_009518737.1		113244	113288	complete	3393:110221-110177
gene-b0104		113444	114487	complete	3393:110021-108978
cds-NP_414646.1		113444	114487	complete	3393:110021-108978
gene-b0106		114522	115724	complete	3393:108943-107741
cds-NP_414648.1		114522	115724	complete	3393:108943-107741
gene-b0107		115714	117099	complete	3393:107751-106366
cds-NP_414649.1		115714	117099	complete	3393:107751-106366
gene-b0108		117109	117549	complete	3393:106356-105916
cds-NP_414650.1		117109	117549	complete	3393:106356-105916
gene-b0109		117752	118645	complete	3393:105713-104820
cds-NP_414651.1		117752	118645	complete	3393:105713-104820
gene-b0110		118733	119284	complete	3393:104732-104181
cds-NP_414652.1		118733	119284	complete	3393:104732-104181
gene-b0111		119281	120135	complete	3393:104184-103330
cds-NP_414653.1		119281	120135	complete	3393:104184-103330
gene-b0112		120178	121551	complete	3393:103287-101914
cds-NP_414654.1		120178	121551	complete	3393:103287-101914
gene-b0113		122092	122856	complete	3393:101373-100609
cds-NP_414655.1		122092	122856	complete	3393:101373-100609
gene-b0114		123017	125680	complete	3393:100448-97785
cds-NP_414656.1		123017	125680	complete	3393:100448-97785
gene-b0115		125695	127587	complete	3393:97770-95878
cds-NP_414657.1		125695	127587	complete	3393:97770-95878
gene-b0116		127912	129336	complete	3393:95553-94129
cds-NP_414658.1		127912	129336	complete	3393:95553-94129
gene-b0117		129407	131260	complete	3393:94058-92205
cds-NP_414659.1		129407	131260	complete	3393:94058-92205
gene-b0118		131615	134212	complete	3393:91850-89253
cds-NP_414660.1		131615	134212	complete	3393:91850-89253
gene-b0119		134388	134750	complete	3393:89077-88715
cds-NP_414661.2		134388	134750	complete	3393:89077-88715
gene-b0120		134788	135582	complete	3393:88677-87883
cds-NP_414662.1		134788	135582	complete	3393:88677-87883
gene-b0121		135598	136464	complete	3393:87867-87001
cds-NP_414663.1		135598	136464	complete	3393:87867-87001
gene-b0122		136570	136917	complete	3393:86895-86548
cds-NP_414664.4		136570	136917	complete	3393:86895-86548
gene-b0123		137083	138633	complete	3393:86382-84832
cds-NP_414665.1		137083	138633	complete	3393:86382-84832
gene-b0124		138835	141225	complete	3393:84630-82240
cds-NP_414666.1		138835	141225	complete	3393:84630-82240
gene-b0125		141431	141967	complete	3393:82034-81498
cds-NP_414667.4		141431	141967	complete	3393:82034-81498
gene-b0126		142008	142670	complete	3393:81457-80795
cds-NP_414668.1		142008	142670	complete	3393:81457-80795
gene-b0127		142779	143705	complete	3393:80686-79760
cds-NP_414669.1		142779	143705	complete	3393:80686-79760
gene-b0128		143702	144472	complete	3393:79763-78993
cds-NP_414670.1		143702	144472	complete	3393:79763-78993
gene-b0129		144577	145017	complete	3393:78888-78448
cds-NP_414671.1		144577	145017	complete	3393:78888-78448
gene-b0130		145081	146310	complete	3393:78384-77155
cds-NP_414672.1		145081	146310	complete	3393:78384-77155
gene-b0131		146314	146694	complete	3393:77151-76771
cds-NP_414673.1		146314	146694	complete	3393:77151-76771
gene-b0132		146968	147870	complete	3393:76497-75595
cds-NP_414674.1		146968	147870	complete	3393:76497-75595
gene-b0133		147944	148795	complete	3393:75521-74670
cds-NP_414675.1		147944	148795	complete	3393:75521-74670
gene-b0134		148807	149601	complete	3393:74658-73864
cds-NP_414676.1		148807	149601	complete	3393:74658-73864
gene-b0135		149715	150953	complete	3393:73750-72512
cds-NP_414677.1		149715	150953	complete	3393:73750-72512
gene-b0136		151003	151599	complete	3393:72462-71866
cds-NP_414678.1		151003	151599	complete	3393:72462-71866
gene-b0137		151626	152231	complete	3393:71839-71234
cds-NP_414679.1		151626	152231	complete	3393:71839-71234
gene-b0138		152243	152812	complete	3393:71222-70653
cds-NP_414680.4		152243	152812	complete	3393:71222-70653
gene-b0139		152829	155426	complete	3393:70636-68039
cds-NP_414681.1		152829	155426	complete	3393:70636-68039
gene-b0140		155461	156201	complete	3393:68004-67264
cds-NP_414682.1		155461	156201	complete	3393:68004-67264
gene-b0141		156299	156883	complete	3393:67166-66582
cds-NP_414683.1		156299	156883	complete	3393:67166-66582
gene-b0142		157253	157732	complete	3393:66212-65733
cds-NP_414684.1		157253	157732	complete	3393:66212-65733
gene-b0143		157729	159126	complete	3393:65736-64339
cds-NP_414685.4		157729	159126	complete	3393:65736-64339
gene-b0144		159186	160112	complete	3393:64279-63353
cds-NP_414686.3		159186	160112	complete	3393:64279-63353
gene-b0145		160149	160604	complete	3393:63316-62861
cds-NP_414687.1		160149	160604	complete	3393:63316-62861
gene-b0146		160782	161486	complete	3393:62683-61979
cds-NP_414688.1		160782	161486	complete	3393:62683-61979
gene-b0147		161501	162031	complete	3393:61964-61434
cds-NP_414689.4		161501	162031	complete	3393:61964-61434
gene-b0148		162105	164534	complete	3393:61360-58931
cds-NP_414690.4		162105	164534	complete	3393:61360-58931
gene-b0149		164730	167264	complete	3393:58735-56201
cds-NP_414691.1		164730	167264	complete	3393:58735-56201
cds-YP_010051172.1		164865	167264	complete	3393:58600-56201
gene-b0150		167484	169727	complete	3393:55981-53738
cds-NP_414692.1		167484	169727	complete	3393:55981-53738
gene-b0151		169778	170575	complete	3393:53687-52890
cds-NP_414693.1		169778	170575	complete	3393:53687-52890
gene-b0152		170575	171465	complete	3393:52890-52000
cds-NP_414694.1		170575	171465	complete	3393:52890-52000
gene-b0153		171462	173444	complete	3393:52003-50021
cds-NP_414695.1		171462	173444	complete	3393:52003-50021
gene-b0154		173602	174882	complete	3393:49863-48583
cds-NP_414696.1		173602	174882	complete	3393:49863-48583
gene-b4765		175048	175095	complete	3393:48417-48370
cds-YP_010051173.1		175048	175095	complete	3393:48417-48370
gene-b0155		175107	176528	complete	3393:48358-46937
cds-NP_414697.1		175107	176528	complete	3393:48358-46937
gene-b4728		176552	176617	complete	3393:46913-46848
cds-YP_009518738.1		176552	176617	complete	3393:46913-46848
gene-b0156		176610	176954	complete	3393:46855-46511
cds-NP_414698.1		176610	176954	complete	3393:46855-46511
gene-b0157		177001	177624	complete	3393:46464-45841
cds-NP_414699.1		177001	177624	complete	3393:46464-45841
gene-b0158		177662	178462	complete	3393:45803-45003
cds-NP_414700.1		177662	178462	complete	3393:45803-45003
gene-b0159		178455	179153	complete	3393:45010-44312
cds-NP_414701.1		178455	179153	complete	3393:45010-44312
gene-b0160		179237	180754	complete	3393:44228-42711
cds-NP_414702.1		179237	180754	complete	3393:44228-42711
gene-b0161		180884	182308	complete	3393:42581-41157
cds-NP_414703.1		180884	182308	complete	3393:42581-41157
gene-b0162		182463	183620	complete	3393:41002-39845
cds-NP_414704.4		182463	183620	complete	3393:41002-39845
gene-b0163		183709	184095	complete	3393:39756-39370
cds-NP_414705.1		183709	184095	complete	3393:39756-39370
gene-b0164		184257	185069	complete	3393:39208-38396
cds-NP_414706.2		184257	185069	complete	3393:39208-38396
gene-b0166		185123	185947	complete	3393:38342-37518
cds-NP_414708.1		185123	185947	complete	3393:38342-37518
gene-b0167		185978	188650	complete	3393:37487-34815
cds-NP_414709.1		185978	188650	complete	3393:37487-34815
gene-b0168		188712	189506	complete	3393:34753-33959
cds-NP_414710.1		188712	189506	complete	3393:34753-33959
gene-b4414		189712	189847	complete	3393:33753-33618
rna-b4414		189712	189847	complete	3393:33753-33618
exon-b4414-1		189712	189847	complete	3393:33753-33618
gene-b0169		189874	190599	complete	3393:33591-32866
cds-NP_414711.1		189874	190599	complete	3393:33591-32866
gene-b0170		190857	191708	complete	3393:32608-31757
cds-NP_414712.1		190857	191708	complete	3393:32608-31757
gene-b0171		191855	192580	complete	3393:31610-30885
cds-NP_414713.1		191855	192580	complete	3393:31610-30885
gene-b0172		192872	193429	complete	3393:30593-30036
cds-NP_414714.1		192872	193429	complete	3393:30593-30036
gene-b0173		193521	194717	complete	3393:29944-28748
cds-NP_414715.1		193521	194717	complete	3393:29944-28748
gene-b4809		194784	194844	complete	3393:28681-28621
rna-b4809		194784	194844	complete	3393:28681-28621
exon-b4809-1		194784	194844	complete	3393:28681-28621
gene-b0174		194903	195664	complete	3393:28562-27801
cds-NP_414716.1		194903	195664	complete	3393:28562-27801
gene-b0175		195677	196534	complete	3393:27788-26931
cds-NP_414717.2		195677	196534	complete	3393:27788-26931
gene-b0176		196546	197898	complete	3393:26919-25567
cds-NP_414718.1		196546	197898	complete	3393:26919-25567
gene-b0177		197928	200360	complete	3393:25537-23105
cds-NP_414719.1		197928	200360	complete	3393:25537-23105
gene-b0178		200482	200967	complete	3393:22983-22498
cds-NP_414720.1		200482	200967	complete	3393:22983-22498
gene-b0179		200971	201996	complete	3393:22494-21469
cds-NP_414721.1		200971	201996	complete	3393:22494-21469
gene-b0180		202101	202556	complete	3393:21364-20909
cds-NP_414722.1		202101	202556	complete	3393:21364-20909
gene-b0181		202560	203348	complete	3393:20905-20117
cds-NP_414723.1		202560	203348	complete	3393:20905-20117
gene-b0182		203348	204496	complete	3393:20117-18969
cds-NP_414724.1		203348	204496	complete	3393:20117-18969
gene-b0183		204493	205089	complete	3393:18972-18376
cds-NP_414725.1		204493	205089	complete	3393:18972-18376
gene-b0184		205126	208608	complete	3393:18339-14857
cds-NP_414726.1		205126	208608	complete	3393:18339-14857
gene-b0185		208621	209580	complete	3393:14844-13885
cds-NP_414727.1		208621	209580	complete	3393:14844-13885
gene-b0186		209679	211820	complete	3393:13786-11645
cds-NP_414728.1		209679	211820	complete	3393:13786-11645
gene-b0187		211877	212266	complete	3393:11588-11199
cds-NP_414729.4		211877	212266	complete	3393:11588-11199
gene-b0188		212331	213629	complete	3393:11134-9836
cds-NP_414730.1		212331	213629	complete	3393:11134-9836
gene-b0189		213678	213932	complete	3393:9787-9533
cds-NP_414731.2		213678	213932	complete	3393:9787-9533
gene-b4406		213925	214125	complete	3393:9540-9340
cds-YP_026160.1		213925	214125	complete	3393:9540-9340
gene-b0190		214291	214836	complete	3393:9174-8629
cds-NP_414732.1		214291	214836	complete	3393:9174-8629
gene-b0191		214833	215255	complete	3393:8632-8210
cds-NP_414733.1		214833	215255	complete	3393:8632-8210
gene-b0192		215269	215979	complete	3393:8196-7486
cds-NP_414734.1		215269	215979	complete	3393:8196-7486
gene-b0193		216179	217003	complete	3393:7286-6462
cds-NP_414735.4		216179	217003	complete	3393:7286-6462
gene-b0194		217057	218775	complete	3393:6408-4690
cds-NP_414736.1		217057	218775	complete	3393:6408-4690
gene-b0195		218887	219594	complete	3393:4578-3871
cds-NP_414737.1		218887	219594	complete	3393:4578-3871
gene-b0196		219591	219995	complete	3393:3874-3470
cds-NP_414738.1		219591	219995	complete	3393:3874-3470
gene-b0197		220113	220928	complete	3393:3352-2537
cds-NP_414739.1		220113	220928	complete	3393:3352-2537
gene-b0198		220968	221621	complete	3393:2497-1844
cds-NP_414740.1		220968	221621	complete	3393:2497-1844
gene-b0199		221614	222645	complete	3393:1851-820
cds-NP_414741.1		221614	222645	complete	3393:1851-820
gene-b0200		222833	223408	complete	3393:632-57
cds-NP_414742.1		222833	223408	complete	3393:632-57
gene-b0207		229167	229970	complete	3259:9955-9152
cds-NP_414743.1		229167	229970	complete	3259:9955-9152
gene-b0208		229967	230881	complete	3259:9155-8241
cds-NP_414744.1		229967	230881	complete	3259:9155-8241
gene-b0209		231122	231922	complete	3259:8000-7200
cds-NP_414745.1		231122	231922	complete	3259:8000-7200
gene-b0210		231926	232549	complete	3259:7196-6573
cds-NP_414746.1		231926	232549	complete	3259:7196-6573
gene-b0211		232597	233955	complete	3259:6525-5167
cds-NP_414747.1		232597	233955	complete	3259:6525-5167
gene-b0212		234027	234782	complete	3259:5095-4340
cds-NP_414748.1		234027	234782	complete	3259:5095-4340
gene-b4815		234288	234320	complete	3259:4834-4802
cds-YP_010283908.1		234288	234320	complete	3259:4834-4802
gene-b0213		234816	235538	complete	3259:4306-3584
cds-NP_414749.2		234816	235538	complete	3259:4306-3584
gene-b0214		235535	236002	complete	3259:3587-3120
cds-NP_414750.1		235535	236002	complete	3259:3587-3120
gene-b0215		236067	236798	complete	3259:3055-2324
cds-NP_414751.1		236067	236798	complete	3259:3055-2324
gene-b0216		236931	237007	complete	3259:2191-2115
rna-b0216		236931	237007	complete	3259:2191-2115
exon-b0216-1		236931	237007	complete	3259:2191-2115
gene-b0217		237335	238120	complete	3259:1787-1002
cds-NP_414752.1		237335	238120	complete	3259:1787-1002
gene-b4586		238257	238736	complete	3259:865-386
cds-YP_001165307.1		238257	238736	complete	3259:865-386
gene-b0218		238746	239084	complete	3259:376-38
gene-b0219		239419	240189	complete	3263:66-836
cds-NP_414754.1		239419	240189	complete	3263:66-836
gene-b0220		240343	240816	complete	3263:990-1463
cds-NP_414755.1		240343	240816	complete	3263:990-1463
gene-b0221		240859	243303	complete	3263:1506-3950
cds-NP_414756.2		240859	243303	complete	3263:1506-3950
gene-b0222		243543	244121	complete	3263:4190-4768
cds-NP_414757.1		243543	244121	complete	3263:4190-4768
gene-b0223		244327	245094	complete	3263:4974-5741
cds-NP_414758.1		244327	245094	complete	3263:4974-5741
gene-b0224		245065	245805	complete	3263:5712-6452
cds-NP_414759.1		245065	245805	complete	3263:5712-6452
gene-b0225		245961	246239	complete	3263:6608-6886
cds-NP_414760.1		245961	246239	complete	3263:6608-6886
gene-b0226		246242	246502	complete	3263:6889-7149
cds-NP_414761.1		246242	246502	complete	3263:6889-7149
gene-b0227		246712	247461	complete	3263:7359-8108
cds-NP_414762.1		246712	247461	complete	3263:7359-8108
gene-b0228		247637	248134	complete	3263:8284-8781
cds-NP_414763.1		247637	248134	complete	3263:8284-8781
gene-b0229		248358	250070	complete	3263:9005-10717
gene-b0230		250072	250827	complete	3263:10719-11474
gene-b0231		250898	251953	complete	3263:11545-12600
cds-NP_414766.1		250898	251953	complete	3263:11545-12600
gene-b0232		252005	252298	complete	3263:12652-12945
